PTM#,Final determination,genetic match/notes,Determination in the field,Qualifier,DNA location,Extra DNA Sample,Date of Extraction,PCR results,CO1,psbA,rbcL,Voucher location,BOLDNumber,GenbankNumber,Red/Coralline/Green/Brown,Country,StateProvince,Locality,Date Collected,Reproductive Status,Field Notes,Accession #,Missing accession,Habitat,Depth,Fragments available?,Latitude,Longitude,Primary Collector,Other collectors,Determined by,Determination Date,Project
393,,no genetic material taken (yellow book),"Hymena setchellii ""curly""",,None,,,,,,,Herbarium,,,Red,Canada,British Columbia,"Hakai, Fifth Beach exposed",5-Jul-2012,,more typical @ Hakai,A89714,,"low intertidal, with tunicates",,,,,,,,,
394,,no genetic material taken (yellow book),Rhizoclonium tortuosum,,None,,,,,,,Herbarium,,,Green,Canada,British Columbia,"Hakai, Fifth Beach exposed",5-Jul-2012,,,A89715,,high intertidal; quadrat 26,26,,,,,,,,
395,,no genetic material taken (yellow book),Gloiopeltis furcata,,None,,,,,,,Herbarium,,,Red,Canada,British Columbia,"Hakai, Fifth Beach exposed",5-Jul-2012,,,A89716,,high intertidal; quadrat 27,27,,,,,,,,
396,,no genetic material taken (yellow book),Antithamnion defectum,,None,,,,,,,Herbarium,,,Red,Canada,British Columbia,"Hakai, Fifth Beach exposed",5-Jul-2012,,,A89717,,low intertidal; quadrat 15,15,,,,,,,,
397,,no genetic material taken (yellow book),Polysiphonia pacificum,,None,,,,,,,Herbarium,,,red,Canada,British Columbia,"Hakai, Fifth Beach exposed",5-Jul-2012,,L. Anderson; var. delicatula,A89718,,high intertidal,,,,,,,,,
398,,no genetic material taken (yellow book),Analipus japonicus ?,,None,,,,,,,Herbarium,,,Brown,Canada,British Columbia,"Hakai, Fifth Beach exposed",5-Jul-2012,,lots of branches?,A89719,,high and low among Endocladia,,,,,,,,,
399,,no genetic material taken (yellow book),Plocamium pacificum,,None,,,,,,,Herbarium,,,Red,Canada,British Columbia,"Hakai, Fifth Beach exposed",6-Jul-2012,,,A89720,,"low intertidal, exposed",,,,,,,,,
400,,no genetic material taken (yellow book),Delesseria decipiens,,None,,,,,,,Herbarium,,,Red,Canada,British Columbia,"Hakai, Fifth Beach exposed",6-Jul-2012,,,A89721,,"low intertidal, exposed pt.",,,,,,,,,
401,,no genetic material taken (yellow book),Mastocarpus pachenicus,,None,,,,,,,Herbarium,,,Red,Canada,British Columbia,"Hakai, Fifth Beach exposed",6-Jul-2012,,,A89722,,"low intertidal, exposed pt.",,,,,,,,,
402,,no genetic material taken (yellow book),Smithora naiadum,,None,,,,,,,Herbarium,,,Red,Canada,British Columbia,"Hakai, Fifth Beach exposed",6-Jul-2012,,on Phyllospadix; L. Anderson,A89723,,not noted in LYB,,,,,,,,,
403,B. californica OR B. sp.1chiloensis,,Bossiella sp.,,None,,2013-06-14,,,F,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, West Beach boulders",21-May-2013,,,A89724,,"high, tidepool",,,,,,,,,
404,Bossiella frondescens,,"Bossiella ""frondescens""?",,None,,2013-06-14,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, West Beach boulders",21-May-2013,,,A89725,,"mid, on rock",,,,,,,,,
405,Wildemania occidentalis,confirmed by sequencing SCL extract P811,Wildemania occidentalis,,None,Yes,,,,,,,,,Red,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,not in lab - check with Sandra?; Gorgeous,,Y,"subtidal, 5m, Large Boulders",5m,,,,,,,,
406,,Was listed as extracted but I do not see this sample listed in Jimmy's lab book and no sequence records _KHJune2016,Opuntiella californica,,None,Yes,,,,,,,,,Red,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,very abundant,,Y,"subtidal, 5m, Large Boulders",5m,,,,,,,,
407,,PCR fail,Desmarestia ligulata,,Martonelab,,2015-05-21,,,,,Herbarium,,,Brown,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,"No genetic material left in vial, ground material reached half 0.1 mark; PCR failed full strength & after 1:80 dilution",A89728,,"subtidal, 5m, Large Boulders",5m,,,,,,,,
408,Schizymenia pacifica,,Schizymenia pacifica,,None,,,,,,,,,,Red,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,,,Y,"subtidal, 5m, Large Boulders",5m,,,,,,,,
409,Gloiocladia sp.1 laciniata,sequence 100% match in BOLD,Gloiocladia laciniata,,None,Yes,,,,,,,,,Red,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,"cystocarpic, neon blue iridescent",,Y,"subtidal, 5m, Large Boulders",5m,,,,,,,,
410,,Was listed as extracted but no sequence records _KHJune2016,Polysiphonia pacifica,,None,Yes,,,,,,,,,Red,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,,,Y,"subtidal, 5m, Large Boulders",5m,,,,,,,,
411,Bossiella hakaiensis,,Bossiella sp. #5 chiloensis,,None,,2013-06-14,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,,A89732,,"subtidal, 5m, Large Boulders",5m,,,,,,,,
412,Mesophyllum vancouveriense,,Pseudolithophyllum muricatum,,None,,2013-06-03,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,,A89733,,"subtidal, 5m, Large Boulders",5m,,,,,,,,
413,Bossiella reptans,,Bossiella reptans,,None,,2013-06-14,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,reproductive,A89734,,"subtidal, 5m, Large Boulders",5m,,,,,,,,
414,,,Ulvaria obscura,,None,,,,,,,,,,Green,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,"thick, crinkled, stiff, fertile",,Y,"subtidal, 5m, Large Boulders",5m,,,,,,,,
415,Bossiella reptans,,Bossiella reptans,,None,,2013-06-14,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,,A89736,,"subtidal, 5m, Large Boulders",5m,,,,,,,,
416,Bossiella hakaiensis,,Bossiella californica,,None,,2013-06-14,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,,A89737,,"subtidal, 5m, Large Boulders",5m,,,,,,,,
