PTM#,Final determination,genetic match/notes,Determination in the field,Qualifier,DNA location,Extra DNA Sample,Date of Extraction,PCR results,CO1,psbA,rbcL,Voucher location,BOLDNumber,GenbankNumber,Red/Coralline/Green/Brown,Country,StateProvince,Locality,Date Collected,Reproductive Status,Field Notes,Accession #,Missing accession,Habitat,Depth,Fragments available?,Latitude,Longitude,Primary Collector,Other collectors,Determined by,Determination Date,Project
57,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",26-Feb-2004,NA,NA,A87307,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",25-Feb-2004,NA,NA,A87308,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Calliarthron cheilosporioides,NA,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",20-Feb-2004,NA,NA,A87309,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
60,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-2005,NA,NA,A87310,NA,"Epilithic, mid intertidal, near ""Coralline bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,did not attempt because we have enough C. tuberculosum sequences,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",25-Nov-2003,NA,NA,A87311,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Calliarthron cheilosporioides,NA,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",25-Feb-2004,NA,NA,A87312,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-2005,NA,NA,A87313,NA,"Epilithic, mid intertidal, near ""Coralline bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
64,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-2005,NA,NA,A87314,NA,"Epilithic, mid intertidal, near ""Coralline bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
65,Bossiella frondifera,NA,Bossiella frondifera,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,Canada,British Columbia,"Harling Pt, Victoria, BC",13-Apr-2009,NA,NA,A88598,NA,"Epilithic, low, under Hedophyllum",NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,psbA failed,Cheilosporum sagittatum,NA,NA,NA,2013-04-10,NA,,,,Herbarium,NA,NA,Coralline,NA,NA,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-2009,NA,NA,A88599,NA,"Epilithic, subtidal",NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,psbA failed,Jania verrucosa,NA,NA,NA,2013-04-10,NA,,,,Herbarium,NA,NA,Coralline,NA,NA,"Point Lonsdale by lighthouse, AUS",21-Jan-2009,NA,NA,A88600,NA,"Epilithic, high intertidal tidepool",NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,psbA failed,Haliptilon roseum,NA,NA,NA,2013-04-10,NA,,,,Herbarium,NA,NA,Coralline,NA,NA,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-2009,NA,NA,A88601,NA,"Epilithic, subtidal",NA,NA,NA,NA,NA,NA,NA,NA,NA
69,Arthrocardia sp.,match to GWS022473Janisp1VIC_Arthrocardia - no forward seq,Arthrocardia flabellata (?),NA,NA,NA,2013-04-10,NA,,R,,Herbarium,NA,NA,Coralline,NA,NA,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-2009,NA,NA,A88602,NA,"Epilithic, tidepool",NA,NA,NA,NA,NA,NA,NA,NA,NA
70,GWS Amphsp1TAS,match to GWS016546Amphsp1TAS,Amphiroa anceps,NA,NA,NA,2013-04-16,NA,,F,,Herbarium,NA,NA,Coralline,NA,NA,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-2009,NA,NA,A88603,NA,"Epilithic, subtidal",NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,messy sequence. gave up,Haliptilon roseum,NA,NA,NA,2013-04-16,NA,,R,,Herbarium,NA,NA,Coralline,NA,NA,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-2009,NA,NA,A88604,NA,"Epilithic, subtidal",NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,psbA failed; 3'end rbcL success,Jania fastigiata,NA,NA,NA,2013-04-16,NA,,,,Herbarium,NA,NA,Coralline,NA,NA,"Queenscliff, AUS",17-Jan-2009,NA,NA,A88605,NA,Drift on Sargassum,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,psbA failed,Corallina officinalis,NA,NA,NA,2013-03-18,NA,,,,Herbarium,NA,NA,Coralline,NA,NA,"Point Lonsdale by lighthouse, AUS",21-Jan-2009,NA,voucher is missing,A88606,NA,not noted in LYB,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,Haliptilon roseum,rbcL,Haliptilon roseum,NA,NA,NA,2009-05-04,NA,,,,NA,NA,NA,Coralline,NA,NA,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-2009,NA,NA,NA,Y,epiphytic on Amphibolous - collected by snorkel 1-2m shallow subtidal,1-2m,NA,NA,NA,NA,NA,NA,NA,NA
78,Hydrolithon cymodoceae,rbcL,Lithophyllum? Fosliella?,NA,NA,NA,2009-05-11,NA,,,,NA,NA,NA,Coralline,NA,NA,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-2009,NA,NA,NA,Y,epiphytic on Ampibolous - collected by snorkel 1-2m shallow subtidal,1-2m,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,psbA failed,Melobesia mediocris,NA,NA,NA,2013-04-17,NA,,,,Herbarium,NA,NA,Coralline,Canada,British Columbia,"Whiffen Spit, Sooke, BC",26-Apr-2009,NA,NA,A88607,NA,"On Phyllospadix, low intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,messy sequence. gave up,Bossiella frondifera,NA,NA,NA,2013-04-16,NA,,R,,Herbarium,NA,NA,Coralline,Canada,British Columbia,"Whiffen Spit, Sooke, BC",26-Apr-2009,NA,NA,A88608,NA,Under Phyllospadix,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Neopolyporolithon reclinatum,NA,Clathromorphum reclinatum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,Canada,British Columbia,"Harling Pt, Victoria, BC",25-Apr-2009,NA,NA,A88609,NA,"On Bossiella frondifera, low intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA
82,Bossiella frondescens,NA,Bossiella frondifera,NA,NA,NA,2013-04-16,NA,,,,Herbarium,NA,NA,Coralline,Canada,British Columbia,"Harling Pt, Victoria, BC",25-Apr-2009,NA,NA,A88610,NA,"Low intertidal, also Clathromorphum and Corallina",NA,NA,NA,NA,NA,NA,NA,NA,NA
