folder,file,ptm,gene,other
PTM001-500,PTM455,COI/PTM455,rx,P1308312
PTM001-500,PTM455,psbA/PTM455,psbaf,P1308580
PTM001-500,PTM456,PTM456,m3f,P1511448
PTM001-500,PTM456,PTM456,m3f,P1511456
PTM001-500,PTM457,PTM457,m3f,P1511613
PTM001-500,PTM457,PTM457,m3f,P1511617
PTM001-500,PTM457,PTM457,m3f,P1511617
PTM001-500,PTM458,PTM458,f57,P1511448
PTM001-500,PTM458,PTM458,m3f,P1511617
PTM001-500,PTM458,PTM458,m3f,P1511617
PTM001-500,PTM458,PTM458,rbclrevnew,P1511448
PTM001-500,PTM458,PTM458,rbclrevnew,P1511469
PTM001-500,PTM458,PTM458,tlf5,P1511448
PTM001-500,PTM458,PTM458,tlr,P1511448
PTM001-500,PTM459,PTM459,gazf2,P1511448
PTM001-500,PTM460,PTM460 (1)/PTM460,f57,P1511617
PTM001-500,PTM460,PTM460 (1)/PTM460,f57,P1511617
PTM001-500,PTM460,PTM460 (1)/PTM460,tlf5,P1511617
PTM001-500,PTM460,PTM460 (1)/PTM460,tlf5,P1511617
PTM001-500,PTM460,PTM460,m3f,P1511749
PTM001-500,PTM461,PTM461,m3f,P1511448
PTM001-500,PTM462,PTM462,m3f,P1511448
PTM001-500,PTM463,PTM463,gazf2,P1511749
PTM001-500,PTM464,PTM464,m3f,P1511544
PTM001-500,PTM465,PTM465,m3f,P1511749
PTM001-500,PTM466,PTM466,m3f,P1511448
PTM001-500,PTM468,PTM468,m3f,P1511448
PTM001-500,PTM469,PTM469,m3f,P1511448
PTM001-500,PTM470,PTM470,psbaf,P1308676
PTM001-500,PTM470,PTM470,psbaf,P1308676
PTM001-500,PTM471,PTM471,m3f,P1511448
PTM001-500,PTM472,PTM472,m3f,P1511749
PTM001-500,PTM473,PTM473,psbaf,P1308676
PTM001-500,PTM473,PTM473,psbaf,P1308800
PTM001-500,PTM473,PTM473,psbaf,P1308835
PTM001-500,PTM474,PTM474,m3f,P1511544
PTM001-500,PTM475,PTM475,m3f,P1511544
PTM001-500,PTM477,PTM477,m3f,P1511544
PTM001-500,PTM478,PTM478,m3f,P1511544
PTM001-500,PTM478,PTM478,m3f,P1511544
PTM001-500,PTM479,PTM479,gazf2,P1511749
PTM001-500,PTM479,PTM479,gazf2,P1511755
PTM001-500,PTM480,PTM480,m3f,P1511544
PTM001-500,PTM481,PTM481,m3f,P1511544
PTM001-500,PTM482,PTM482,m3f,P1511544
PTM001-500,PTM483,PTM483,m3f,P1511544
PTM001-500,PTM485,PTM485,m3f,P1511544
PTM001-500,PTM486,PTM486,psbaf,P1308676
PTM001-500,PTM486,PTM486,psbar2,P1308800
PTM001-500,PTM487,PTM487,psbaf,P1308676
PTM001-500,PTM488,PTM488,psbaf,P1308676
PTM001-500,PTM488,PTM488,psbar2,P1308800
PTM001-500,PTM489,PTM489,psbaf,P1308676
PTM001-500,PTM489,PTM489,psbar2,P1308800
PTM001-500,PTM490,PTM490,m3f,P1511544
PTM001-500,PTM491,PTM491,tufgf4,P1511749
PTM001-500,PTM492,PTM492,m3f,P1511544
PTM001-500,PTM493,PTM475,f57,P1512217
PTM001-500,PTM493,PTM475,rbclrevnew,P1512217
PTM001-500,PTM493,PTM475,tlf5,P1512217
PTM001-500,PTM493,PTM475,tlr,P1512217
PTM001-500,PTM493,PTM493,m3f,P1511749
PTM001-500,PTM493,PTM493,m3f,P1511755
PTM001-500,PTM493,PTM500,f57,P1512217
PTM001-500,PTM493,PTM500,m3f,P1512217
PTM001-500,PTM493,PTM500,m3r,P1512217
PTM001-500,PTM493,PTM500,rbclrevnew,P1512217
PTM001-500,PTM493,PTM500,tlf5,P1512217
PTM001-500,PTM493,PTM500,tlr,P1512217
PTM001-500,PTM495,PTM495,psbaf,P1308676
PTM001-500,PTM495,PTM495,psbar2,P1308800
PTM001-500,PTM496,PTM496,gazf2,P1511749
PTM001-500,PTM497,PTM497,m3f,P1511544
PTM001-500,PTM498,PTM498,m3f,P1511544
PTM001-500,PTM499,PTM499,m3f,P1511544
PTM001-500,PTM500,PTM500,m3f,P1511544
PTM1001-1500,PTM1002,PTM1002,psbaf,P1511266
PTM1001-1500,PTM1003,PTM1003,psbaf,P1511266
PTM1001-1500,PTM1004,PTM1004,psbaf,P1511266
PTM1001-1500,PTM1005,PTM1005,psbaf,P1511398
PTM1001-1500,PTM1006,PTM1006,psbaf,P1511398
PTM1001-1500,PTM1008,PTM1008,f57,P1511451
PTM1001-1500,PTM1008,PTM1008,f57,P1511451
PTM1001-1500,PTM1008,PTM1008,psbaf,P1511398
PTM1001-1500,PTM1008,PTM1008,psbar2,P1511448
PTM1001-1500,PTM1008,PTM1008,rbclrevnew,P1511451
PTM1001-1500,PTM1008,PTM1008,rbclrevnew,P1511451
PTM1001-1500,PTM1008,PTM1008,tlf5,P1511448
PTM1001-1500,PTM1008,PTM1008,tlr,P1511451
PTM1001-1500,PTM1008,PTM1008,tlr,P1511451
PTM1001-1500,PTM1009,PTM1009,psbaf,P1511398
PTM1001-1500,PTM1010,PTM1010,psbaf,P1511398
PTM1001-1500,PTM1011,PTM1011,f57,P1511451
PTM1001-1500,PTM1011,PTM1011,f57,P1511451
PTM1001-1500,PTM1011,PTM1011,gwsfn,P1511451
PTM1001-1500,PTM1011,PTM1011,gwsfn,P1511451
PTM1001-1500,PTM1011,PTM1011,gwsrx,P1511451
PTM1001-1500,PTM1011,PTM1011,gwsrx,P1511451
PTM1001-1500,PTM1011,PTM1011,psbaf,P1511398
PTM1001-1500,PTM1011,PTM1011,psbar2,P1511448
PTM1001-1500,PTM1011,PTM1011,rbclrevnew,P1511451
PTM1001-1500,PTM1011,PTM1011,rbclrevnew,P1511451
PTM1001-1500,PTM1011,PTM1011,tlf5,P1511448
PTM1001-1500,PTM1011,PTM1011,tlr,P1511451
PTM1001-1500,PTM1011,PTM1011,tlr,P1511451
PTM1001-1500,PTM1012,PTM1012,psbaf,P1511398
PTM1001-1500,PTM1015,PTM1015,gwsfn,P1410379
PTM1001-1500,PTM1015,PTM1015,gwsrx,P1410379
PTM1001-1500,PTM1015,PTM1015,psbaf,P1410302
PTM1001-1500,PTM1015,PTM1015,psbar2,P1410379
PTM1001-1500,PTM1017 (1),PTM1017,gwsfn,P1511749
PTM1001-1500,PTM1017 (1),PTM1017,gwsrx,P1511749
PTM1001-1500,PTM1017,PTM1017,gwsfn,P1410379
PTM1001-1500,PTM1017,PTM1017,gwsrx,P1410379
PTM1001-1500,PTM1017,PTM1017,psbaf,P1410302
PTM1001-1500,PTM1017,PTM1017,psbar2,P1410379
PTM1001-1500,PTM1018 (1),PTM1018,gwsfn,P1511749
PTM1001-1500,PTM1018 (1),PTM1018,gwsrx,P1511749
PTM1001-1500,PTM1018,PTM1018,gwsfn,P1410379
PTM1001-1500,PTM1018,PTM1018,gwsrx,P1410379
PTM1001-1500,PTM1018,PTM1018,psbaf,P1410302
PTM1001-1500,PTM1018,PTM1018,psbar2,P1410379
PTM1001-1500,PTM1019,GWS1019,gwsfn,P1410379
PTM1001-1500,PTM1019,GWS1019,gwsrx,P1410379
PTM1001-1500,PTM1019,PTM1019,psbaf,P1410302
PTM1001-1500,PTM1019,PTM1019,psbar2,P1410379
PTM1001-1500,PTM1020,GWS1020,gwsfn,P1410379
PTM1001-1500,PTM1020,GWS1020,gwsrx,P1410379
PTM1001-1500,PTM1020,PTM1020,psbaf,P1410302
PTM1001-1500,PTM1020,PTM1020,psbar2,P1410379
PTM1001-1500,PTM1021,PTM1021,psbaf,P1410302
PTM1001-1500,PTM1021,PTM1021,psbar2,P1410379
PTM1001-1500,PTM1022,PTM1022,psbaf,P1410302
PTM1001-1500,PTM1023,PTM1023,psbaf,P1410302
